CollectabilityID,ProviderID,TimeFrom,TimeTo,Town,Location,Sensortype,IoTDevice,Restrictions,Comment,TopicName,Provider IP,ZTNetworkID
yfij300,PXK,2021-08-06 20:00,2021-11-19 00:03,Carrickfergus,Familyroom,RadiationSensor,HTC One SV,None,None,then1aboriginal10boat1,192.168.0.108,x8k2fx39v29xlz2l
yfij301,GWG,2021-02-13 14:34,2021-09-14 09:16,Athlone,Frontyard,ParticleSensor,Sony Xperia XA2/Ultra,None,None,truthfully1dear10berry0,201.215.235.109,tojeh43l2jcm86jh
yfij302,WRV,2021-01-31 20:21,2021-09-20 22:31,Ennis,Basement,TemperatureSensor,Huawei Nova/Plus,None,None,perfectly1wide-eyed10lace1,192.168.0.108,2k02b713l8le1fge
yfij303,GRM,2021-02-25 05:32,2021-01-30 09:10,Greystones,#REF!,LevelSensor,Honor 9C/9S/9A,None,None,bleakly1aberrant01tree0,201.215.235.109,q31fts8pmucz3m1v
yfij304,PCS,2021-01-15 08:53,2022-02-28 20:10,Newtownards,Bathroom,RadiationSensor,HTC Evo 4G+,None,None,else1clever11reward0,188.247.201.145,rnmazdpc2ds6ypoj
yfij305,GHC,2021-11-27 12:56,2022-03-17 21:09,Mullingar,Basement,ParticleSensor,Sony Xperia 10/10 Plus,None,None,somewhat1quizzical00dad0,201.215.235.109,g18557oab9ncybmc
yfij306,EPD,2021-02-16 12:40,2021-06-24 10:52,Malahide,Backyard,PositionSensor,Huawei Mate 20,None,None,weekly1bizarre11cactus1,201.215.235.109,2qk4fwug7oxoc5f6
yfij307,HKX,2021-12-17 18:54,2021-12-25 10:29,Cork,Diningroom,PressureSensor,Nubia Play,None,None,frankly1rightful10maid1,201.215.235.109,olhnp0uuzkec6y1m
yfij308,FRE,2021-08-04 05:36,2021-04-27 03:43,Midleton,Bathroom,LeakSensor,Nexus 6,None,None,mechanically1ripe01support0,201.215.235.109,qjfg1kokj9pqw4gm
yfij309,GHC,2021-01-13 02:28,2021-12-19 22:00,Dundalk,Frontyard,RadiationSensor,HTC U19e,None,None,quizzically1adjoining11mark1,201.215.235.109,uwijmm66u1c5glkj
yfij310,QAR,2021-06-23 20:23,2021-09-09 18:19,Cork,Diningroom,MetalSensor,Nubia Z11 mini,None,None,upbeat0strange10morning0,192.168.0.108,ghm2g4zmsp6ynxx0
yfij311,PZA,2021-06-29 23:38,2022-04-17 14:49,Swords,Diningroom,PressureSensor,Oppo Reno3 Pro,None,None,evenly0finicky10pail1,192.168.0.108,p7cudq83woujsfif
yfij312,UFF,2021-05-14 09:24,2021-10-13 07:04,Portadown,Livingroom,LevelSensor,Sony Xperia X/Performance,None,None,boastfully1serious11potato0,192.168.0.108,p4jfbt6pnqrrl4z5
yfij313,KTC,2022-02-22 22:30,2021-10-28 07:16,Coleraine,Frontyard,LeakSensor,HTC One SV,None,None,jaggedly0thick01ray1,201.215.235.109,lrv8gh0n8buombcc
yfij314,QAR,2021-01-16 23:08,2021-12-08 00:14,Galway,Bathroom,PhotoelectricSensor,HTC U Ultra,None,None,properly0dangerous10corn0,192.168.0.108,no6eaf602ryth0k9
yfij315,SLZ,2021-05-01 15:50,2021-08-31 11:59,Larne,GuestRoom,LeakSensor,Nokia 5.4,None,None,automatically1rich00vessel1,192.168.0.108,nldvbvgmscstwzgy
yfij316,BCX,2021-11-14 06:42,2021-03-11 22:20,Limerick,Livingroom,FlawSensor,Honor 20,None,None,youthfully0jumpy10ants1,#N/A,7t2vi1n3xssih0qa
yfij317,PXK,2021-02-07 20:27,2021-10-10 18:11,Ashbourne,Familyroom,MetalSensor,Samsung Galaxy Note 20/Ultra,None,None,oddly1gaping11condition0,192.168.0.108,ueht498angrv3ci7
yfij318,JNU,2021-01-23 21:18,2021-10-15 07:36,Newtownabbey,Frontyard,VisionAndImaging Sensor,Nexus 4,None,None,less1labored11observation1,201.215.235.109,t6kozbztucd51of1
yfij319,PXK,2021-02-17 12:13,2022-02-24 05:31,Killarney,#REF!,MetalSensor,Oppo A92,None,None,usefully1questionable10reading0,192.168.0.108,uwijmm66u1c5glkj
yfij320,PCS,2022-01-06 22:32,2021-09-23 06:49,Carrigaline,Bathroom,PhotoelectricSensor,Huawei Nova 4e,None,None,unexpectedly0cautious11street0,188.247.201.145,uwijmm66u1c5glkj
yfij321,PKD,2021-05-15 09:15,2021-07-10 17:26,Carrigaline,Kitchen,ParticleSensor,Nokia X,None,None,irritably1vagabond10planes1,50.109.201.254,o4hiuz5h630jvi8v
yfij322,GWG,2021-01-13 00:19,2021-08-21 10:26,Mullingar,Backyard,LeakSensor,Oppo Joy Plus,None,None,meaningfully0second01loss1,201.215.235.109,hwi477v0z35qjt8o
yfij323,FVC,2022-05-19 23:03,2021-02-24 21:16,Wexford,Backyard,LeakSensor,HTC One M8s,None,None,gleefully0necessary00turn0,201.215.235.109,9qtq727b3kcpvkb4
yfij324,QAR,2022-03-19 15:39,2022-03-22 11:03,Newry,Diningroom,ContactSensor,Oppo F17/Pro,None,None,wildly0erratic11stem0,192.168.0.108,0ucos3od59yrm896
yfij325,THA,2021-09-22 15:42,2021-08-07 06:56,Malahide,Basement,TemperatureSensor,Huawei P30,None,None,sleepily0round00spade0,192.168.0.108,olhnp0uuzkec6y1m
yfij326,WZP,2021-08-20 01:12,2021-07-17 05:24,Newbridge,GuestRoom,MetalSensor,Oppo R15 Pro,None,None,unabashedly0coherent01mist0,192.168.0.108,m5mb9ns6fby8usbq
yfij327,SLZ,2021-05-05 09:01,2021-03-15 15:31,Bangor,Familyroom,FlameSensor,Oppo Find X3/Pro,None,None,totally1savory10giraffe0,192.168.0.108,wmqfhg9thbqblysd
yfij328,JNU,2022-04-15 12:30,2021-06-11 14:28,Castlebar,Kitchen,ParticleSensor,Oppo A73,None,None,thus1intelligent01act0,201.215.235.109,wugfnstgcn8sfd8p
yfij329,FLF,2022-01-15 05:44,2021-11-26 23:14,Newry,#REF!,FlameSensor,HTC Desire X,None,None,noisily1useless10power1,201.215.235.109,azlm1vc3jxvdj59f
yfij330,PKD,2021-06-28 01:08,2021-02-18 18:25,Tralee,Garage,MetalSensor,Samsung Galaxy A70s,None,None,playfully0relieved01trip1,50.109.201.254,0w61o33ulkjmm3oh
yfij331,BCX,2022-03-02 01:53,2021-07-13 16:32,Navan,Backyard,VisionAndImaging Sensor,HTC Dream,None,None,wrongly0amusing11unit0,#N/A,6nkmcgfdf58jnsj9
yfij332,EZY,2022-04-26 22:10,2021-07-25 18:56,Greystones,Diningroom,VisionAndImaging Sensor,HTC Desire 19s,None,None,ever0pretty11swim1,201.215.235.109,x8k2fx39v29xlz2l
yfij333,JNU,2021-10-02 10:12,2021-05-16 01:45,Newtownabbey,Kitchen,MotionSensor,Nubia Z9 mini,None,None,strongly1ashamed10space1,201.215.235.109,j48xbdqutkfi8krz
yfij334,LYC,2021-03-18 01:40,2022-01-13 01:29,Celbridge,GuestRoom,FlawSensor,Nubia Red Magic,None,None,soon0yellow10self1,201.215.235.109,a73nl81qp33ij1ia
yfij335,JNU,2021-02-19 00:23,2021-12-11 17:32,Maynooth,Frontyard,LeakSensor,Nokia 8,None,None,fully1descriptive01guide1,201.215.235.109,olhnp0uuzkec6y1m
yfij336,ETF,2021-08-16 16:25,2021-06-05 10:54,Armagh,Garage,VisionAndImaging Sensor,Honor 4 Play,None,None,voluntarily1ragged10death1,201.215.235.109,x8k2fx39v29xlz2l
yfij337,EPD,2022-03-05 07:50,2021-02-24 00:32,Mallow,#REF!,ElectricalSensor,Samsung Galaxy A51 5G UW,None,None,sympathetically0burly10achiever1,201.215.235.109,77pp7adrvnrqzy59
yfij338,FVC,2021-07-28 00:46,2021-05-14 14:28,Cookstown,Familyroom,LevelSensor,Asus PadFone X mini,None,None,repeatedly0precious00point1,201.215.235.109,iok5x3b1b4fy4kiv
yfij339,GRM,2022-06-05 13:06,2021-11-07 08:03,Banbridge,Familyroom,ParticleSensor,Nubia Red Magic 6/Pro,None,None,well1puny10income1,201.215.235.109,nldvbvgmscstwzgy
yfij340,GRM,2021-01-04 16:32,2021-08-12 12:04,Maynooth,Kitchen,MotionSensor,Samsung Galaxy Xcover 2,None,None,coolly0new11caption1,201.215.235.109,milc8lbibmlyfk66
yfij341,XCW,2021-02-27 22:42,2021-05-27 04:45,Tullamore,Bathroom,PhotoelectricSensor,Nokia 5.4,None,None,possibly0miscreant01coat1,192.168.0.108,rnmazdpc2ds6ypoj
yfij342,HKX,2021-11-03 21:26,2021-08-21 11:16,Mullingar,Backyard,ElectricalSensor,Samsung Galaxy S10/e/+,None,None,accidentally1diligent11wine0,201.215.235.109,o4hiuz5h630jvi8v
yfij343,FLF,2022-01-15 09:09,2021-08-05 16:23,Letterkenny,Livingroom,ElectricalSensor,Nubia Z7/Max/mini,None,None,tediously0teeny00need1,201.215.235.109,71h2hettdsze0ap4
yfij344,UWS,2021-06-08 17:00,2021-09-24 05:07,Swords,Garage,MotionSensor,Oppo Joy Plus,None,None,probably1glib10touch0,192.168.0.108,oaz2cdqcc6833628
yfij345,GWG,2021-11-20 01:14,2021-09-24 04:52,Tullamore,GuestRoom,LevelSensor,HTC One X/XL,None,None,offensively1small10nose0,201.215.235.109,zgbifffo7bzqaiki
yfij346,WRV,2021-05-17 15:33,2021-03-26 19:03,Armagh,Frontyard,PositionSensor,HTC Desire 510,None,None,correctly1tremendous00ticket1,192.168.0.108,4xn1m2vxcu1jet82
yfij347,SLZ,2021-09-20 06:35,2022-02-24 20:00,Derry,Basement,ProximitySensor,HTC One M8s,None,None,definitely1separate10sign1,192.168.0.108,ghm2g4zmsp6ynxx0
yfij348,QAR,2021-02-21 08:44,2022-04-13 18:55,Cork,Bathroom,LevelSensor,Honor 10,None,None,too1regular00toe1,192.168.0.108,lrv8gh0n8buombcc
yfij349,PKD,2021-12-06 08:58,2021-11-21 04:36,Leixlip,Bedroom,ProximitySensor,HTC Evo 4G LTE,None,None,questioningly1hysterical00playground0,50.109.201.254,yemz3zhla9vdq9xx
yfij350,GHC,2021-09-10 11:02,2022-05-18 17:35,Swords,GuestRoom,VisionAndImaging Sensor,OnePlus 7T,None,None,fairly0animated01blood1,201.215.235.109,ajtlv95kekuan9jk
yfij351,ETF,2022-03-02 20:22,2021-11-27 03:19,Portadown,Familyroom,PressureSensor,Huawei Nova 7/Pro/SE,None,None,dreamily0dizzy00toes0,201.215.235.109,ut79tod87tkvjybf
yfij352,HAB,2021-08-30 21:27,2021-10-06 23:45,Balbriggan,Frontyard,ProximitySensor,Oppo F17/Pro,None,None,nicely1juicy11stew1,201.215.235.109,p3zcg0317dvsflqm
yfij353,ETF,2021-09-02 13:35,2021-03-07 17:01,Strabane,Garage,PositionSensor,Nokia 2,None,None,selfishly0evanescent01bone0,201.215.235.109,t6kozbztucd51of1
yfij354,WZP,2021-06-05 19:35,2021-03-30 12:00,Carrickfergus,Diningroom,TemperatureSensor,Honor 30S,None,None,excitedly1voiceless11wire1,192.168.0.108,knmf3vubnsfem4xr
yfij355,HAB,2021-08-01 21:59,2021-10-11 22:53,Portadown,Livingroom,VisionAndImaging Sensor,Oppo Find 5 Mini,None,None,literally0loud10event0,201.215.235.109,p7cudq83woujsfif
yfij356,QAR,2021-03-02 00:24,2021-08-26 19:35,Limavady,Kitchen,TemperatureSensor,Asus ZenFone 5,None,None,technically0incredible00territory1,192.168.0.108,cqcho4z61zck6qvl
yfij357,THA,2021-04-21 14:34,2022-03-30 13:42,Cobh,Bathroom,RadiationSensor,Nubia Z11 mini,None,None,gladly0short10minute1,192.168.0.108,tel62pqk5l2yjfy3
yfij358,GWG,2021-04-23 21:30,2021-11-19 18:32,Malahide,#REF!,MotionSensor,Samsung Galaxy S5,None,None,upright1deafening10creature0,201.215.235.109,ghm2g4zmsp6ynxx0
yfij359,FVC,2021-05-17 15:06,2021-03-15 20:48,Malahide,Garage,TemperatureSensor,Nexus 6P,None,None,cheerfully0holistic00scarf1,201.215.235.109,2dyoxu7gvt2edotl
yfij360,EPD,2021-05-13 22:38,2021-07-03 07:48,Maynooth,#REF!,PressureSensor,Oppo N1,None,None,generally1adaptable01sleep0,201.215.235.109,3ut45e0b8uq1i0wo
yfij361,JNU,2021-08-17 01:47,2022-01-02 04:09,Bangor,Diningroom,RadiationSensor,Samsung Galaxy A8 (2016),None,None,essentially0imperfect10stove1,201.215.235.109,ut79tod87tkvjybf
yfij362,THA,2021-06-24 15:59,2021-05-31 14:05,Belfast,GuestRoom,ContactSensor,Samsung Galaxy F62,None,None,faithfully0sincere10airport0,192.168.0.108,ry3oogsngyvwu92y
yfij363,HKX,2022-04-10 20:14,2021-02-10 17:13,Lisburn,Livingroom,PhotoelectricSensor,Samsung Galaxy Xcover FieldPro,None,None,promptly0absorbing01cheese1,201.215.235.109,trge3fb3wlkx54fv
yfij364,PXK,2021-01-21 18:20,2021-02-06 05:47,Coleraine,Bedroom,MetalSensor,Asus ZenFone Lite L1,None,None,specifically0panoramic00request0,192.168.0.108,1w4p4nvryplyreib
yfij365,HAB,2022-01-27 04:33,2022-02-07 16:40,Cobh,Livingroom,MetalSensor,OnePlus 7,None,None,mainly1lopsided01quiet0,201.215.235.109,1w4p4nvryplyreib
yfij366,XCW,2022-04-20 03:32,2022-01-25 04:04,Castlebar,Garage,FlawSensor,HTC Raider 4G,None,None,busily1tired01tendency0,192.168.0.108,uwijmm66u1c5glkj
yfij367,FRE,2021-04-14 06:48,2021-12-19 05:55,Waterford,Backyard,ElectricalSensor,HTC Wildfire E3,None,None,anxiously1illustrious01babies0,201.215.235.109,tel62pqk5l2yjfy3
yfij368,EPD,2021-02-06 00:34,2021-05-19 14:48,Carrickfergus,Bathroom,PressureSensor,Samsung Galaxy S10 5G,None,None,smoothly0gaudy00payment1,201.215.235.109,7t2vi1n3xssih0qa
yfij369,GHC,2021-04-15 18:59,2021-05-10 22:00,Drogheda,Bedroom,TemperatureSensor,Oppo F17/Pro,None,None,violently0endurable00judge1,201.215.235.109,ts9neu8jvhvlkmpx
yfij370,HKX,2022-01-09 11:01,2022-03-10 12:23,Clonmel,#REF!,FlameSensor,Asus ZenFone 2,None,None,wisely1stormy01stone0,201.215.235.109,apneovwjunmfhf6v
yfij371,LYC,2021-10-13 10:48,2021-09-27 05:21,Ballymena,Familyroom,PhotoelectricSensor,HTC Desire 20 Pro,None,None,poorly0macabre11uncle0,201.215.235.109,3ut45e0b8uq1i0wo
yfij372,UWS,2022-04-29 13:16,2021-05-23 17:54,Drogheda,Kitchen,ContactSensor,Honor 9X,None,None,immediately0misty01van0,192.168.0.108,c1l1nl7obwvny90q
yfij373,QAR,2021-02-17 15:19,2022-05-03 13:56,Kilkenny,Frontyard,LevelSensor,Oppo Joy,None,None,clearly0pumped00tank0,192.168.0.108,p3zcg0317dvsflqm
yfij374,PXK,2021-08-16 18:04,2021-10-30 08:07,Celbridge,Garage,PressureSensor,Samsung Galaxy S9/+,None,None,deeply0moaning10end0,192.168.0.108,p3zcg0317dvsflqm
yfij375,UFF,2021-05-16 07:53,2021-12-04 04:29,Antrim,Basement,ElectricalSensor,Apple iPhone 11,None,None,daily1fascinated11tooth1,192.168.0.108,g18557oab9ncybmc
yfij376,KTC,2021-07-22 17:12,2021-09-20 01:40,Athlone,GuestRoom,ProximitySensor,Nexus 5X,None,None,readily1quickest01ring0,201.215.235.109,iok5x3b1b4fy4kiv
yfij377,EZY,2021-10-13 00:54,2021-07-30 05:03,Killarney,GuestRoom,LeakSensor,Samsung Galaxy A41,None,None,unaccountably0sore10food0,201.215.235.109,ts9neu8jvhvlkmpx
yfij378,PKD,2021-11-06 15:15,2021-08-17 04:35,Coleraine,GuestRoom,LeakSensor,HTC One S,None,None,thoroughly0near10wood0,50.109.201.254,qe6rie9fhd65tb6w
yfij379,QAR,2021-05-07 10:08,2021-07-24 16:54,Belfast,Bedroom,LeakSensor,OnePlus 3T,None,None,deceivingly0dynamic11pet0,192.168.0.108,73yj6owur5ph8kd8
yfij380,PZA,2022-01-15 06:58,2021-08-07 15:42,Carrigaline,Garage,ContactSensor,Samsung Galaxy A21,None,None,vainly0proud01run0,192.168.0.108,lrv8gh0n8buombcc
yfij381,MCY,2021-01-31 09:58,2021-08-15 03:51,Greystones,Kitchen,ProximitySensor,Samsung Galaxy F62,None,None,courageously0cool01form0,201.215.235.109,tel62pqk5l2yjfy3
yfij382,HAB,2022-04-28 00:50,2022-03-08 08:58,Clonmel,Backyard,TemperatureSensor,Oppo A73 5G,None,None,seriously0ancient00frogs0,201.215.235.109,lx90vfp0fnnxabg4
yfij383,HKX,2021-05-02 22:57,2021-05-05 09:40,Banbridge,Bathroom,FlameSensor,Honor 9X (China),None,None,warmly1nappy01bridge0,201.215.235.109,p3zcg0317dvsflqm
yfij384,BCX,2022-04-06 22:46,2022-03-21 03:29,Coleraine,Garage,FlawSensor,Honor Play4/Pro,None,None,doubtfully1ill10noise0,#N/A,9qtq727b3kcpvkb4
yfij385,PKD,2021-01-18 22:34,2022-02-12 10:59,Banbridge,#REF!,MotionSensor,Asus PadFone 2,None,None,politely1overjoyed01cub1,50.109.201.254,71h2hettdsze0ap4
yfij386,HAB,2021-12-18 07:01,2021-07-18 14:33,Cookstown,Backyard,MetalSensor,Nubia Red Magic 3,None,None,sadly0colorful00history1,201.215.235.109,kwvtcvn07oeqno3a
yfij387,LYC,2021-01-31 16:43,2021-12-23 20:38,Portlaoise,Frontyard,RadiationSensor,Nubia Red Magic 5S,None,None,similarly0festive10step1,201.215.235.109,bq60f6d2c6k5stak
yfij388,ETF,2021-04-17 12:01,2022-06-06 07:55,Strabane,Garage,ContactSensor,Pixel 3a/XL,None,None,vaguely1bewildered11icicle0,201.215.235.109,knmf3vubnsfem4xr
yfij389,WJN,2021-06-27 22:40,2021-08-15 04:48,Waterford,Livingroom,MetalSensor,Huawei Ascend Mate 7,None,None,never1likeable01plastic0,192.168.0.108,3ut45e0b8uq1i0wo
yfij390,QAR,2021-10-18 02:41,2021-02-22 12:00,Balbriggan,Bathroom,ContactSensor,Nubia Z17 lite,None,None,victoriously1nostalgic00spy0,192.168.0.108,jkn28jqtzca7n03l
yfij391,UWS,2022-02-09 01:44,2021-11-25 11:03,Newtownards,Bathroom,RadiationSensor,Nokia 6.2,None,None,currently0shallow00offer0,192.168.0.108,s085g6jmp2v3gs14
yfij392,GWG,2021-11-05 13:38,2022-05-17 18:13,Waterford,Bedroom,FlawSensor,Honor 3C Play,None,None,queerly1wealthy00beef0,201.215.235.109,3rfv057vluihv3az
yfij393,JNU,2021-11-24 17:25,2022-02-20 11:50,Ashbourne,Diningroom,ElectricalSensor,HTC Desire 20 Pro,None,None,beautifully1loose01tin1,201.215.235.109,qe6rie9fhd65tb6w
yfij394,GWG,2021-01-31 20:42,2021-11-25 02:26,#REF!,Basement,VisionAndImaging Sensor,HTC Amaze 4G,None,None,rudely1cloudy10cake0,201.215.235.109,o4bcybyqx0s0s3s9
yfij395,WRV,2021-05-21 14:05,2022-02-14 21:39,Galway,Bathroom,LevelSensor,Samsung Galaxy Note 3 Neo,None,None,daintily0few01finger0,192.168.0.108,t6kozbztucd51of1
yfij396,ETF,2021-06-16 04:32,2021-04-23 15:15,Limerick,Garage,PhotoelectricSensor,HTC Wildfire E2,None,None,more0delicate00argument1,201.215.235.109,jkn28jqtzca7n03l
yfij397,MHE,2021-02-23 11:11,2021-03-27 16:45,Ballymena,Frontyard,VisionAndImaging Sensor,Nokia 2.4,None,None,ferociously0dry10substance0,201.215.235.109,msr8qbh88eeuu69g
yfij398,XCW,2021-07-30 00:55,2022-01-13 13:00,Antrim,Backyard,PositionSensor,HTC Desire 510,None,None,ultimately1languid00coil1,192.168.0.108,73yj6owur5ph8kd8
yfij399,JNU,2021-07-21 17:24,2021-02-16 15:16,Portadown,GuestRoom,ParticleSensor,HTC Desire 500,None,None,briskly1hanging00crime0,201.215.235.109,rhvw654gjo9fkpol
yfij400,XCW,2021-04-20 10:20,2021-01-22 06:41,Clonmel,Frontyard,MetalSensor,Nokia C1,None,None,yearly1mountainous10battle1,192.168.0.108,uwijmm66u1c5glkj
yfij401,MCY,2021-09-28 05:47,2021-03-30 15:27,Newtownabbey,Livingroom,PositionSensor,Nokia 6,None,None,unfortunately1tender10sound1,201.215.235.109,wmqfhg9thbqblysd
yfij402,WRV,2021-07-19 11:29,2022-02-17 12:54,Mallow,Livingroom,VisionAndImaging Sensor,HTC One M9s,None,None,righteously1plausible10stomach1,192.168.0.108,3ut45e0b8uq1i0wo
yfij403,THA,2021-01-25 09:23,2021-06-26 12:39,Athlone,Bathroom,PressureSensor,HTC Evo 4G LTE,None,None,rapidly0eager00ear0,192.168.0.108,yemz3zhla9vdq9xx
yfij404,WRV,2022-05-02 10:45,2021-06-13 02:23,Dundalk,Kitchen,ElectricalSensor,Sony Xperia XZ3,None,None,early1ill-informed01shade1,192.168.0.108,kwvtcvn07oeqno3a
yfij405,UWS,2021-05-30 23:44,2021-10-26 18:25,Sligo,Backyard,PositionSensor,Nubia N1 lite,None,None,helpfully1delightful10plate1,192.168.0.108,h5yr9u52kg7c7y8d
yfij406,JNU,2021-10-15 03:00,2022-02-22 17:40,Carlow,GuestRoom,FlawSensor,Pixel 4/XL,None,None,shrilly1guarded10meal0,201.215.235.109,#REF!
yfij407,WZP,2021-10-18 22:15,2021-07-30 00:13,Derry,Frontyard,ElectricalSensor,Sony Ericsson Xperia X10,None,None,originally0big01nerve1,192.168.0.108,uwijmm66u1c5glkj
yfij408,WJN,2021-09-24 22:28,2022-01-31 02:45,Balbriggan,Basement,LevelSensor,Oppo Reno4/Pro,None,None,vastly0many00selection0,192.168.0.108,a73nl81qp33ij1ia
yfij409,PCS,2021-12-12 06:50,2021-03-15 11:55,Limavady,Backyard,ParticleSensor,Honor 30/Pro/Pro+,None,None,altogether1madly00slope1,188.247.201.145,rqsi2p4cpu0vxco4
yfij410,HKX,2021-02-07 18:13,2021-07-18 04:54,Antrim,GuestRoom,LeakSensor,Sony Xperia XZ2/Compact,None,None,often0foamy10advertisement1,201.215.235.109,0ucos3od59yrm896
yfij411,UWS,2022-03-24 06:34,2021-05-20 19:08,Letterkenny,Backyard,MetalSensor,OnePlus 7,None,None,energetically0marvelous11dress0,192.168.0.108,yjw5lo35byc5hdxp
yfij412,HKX,2021-03-02 04:03,2022-03-09 10:19,Belfast,Bedroom,MotionSensor,HTC One ME,None,None,far1meek10shape1,201.215.235.109,2dyoxu7gvt2edotl
yfij413,GWG,2021-01-22 23:06,2022-01-21 06:11,Arklow,Diningroom,ParticleSensor,Sony Xperia XZs/Premium,None,None,intently1cheerful01detail1,201.215.235.109,apneovwjunmfhf6v
yfij414,GWG,2022-03-11 04:02,2021-08-19 03:39,Balbriggan,Diningroom,FlawSensor,HTC Desire 601 dual sim,None,None,quicker0squeamish10liquid1,201.215.235.109,s085g6jmp2v3gs14
yfij415,GHC,2022-02-13 13:55,2022-03-22 09:08,Carrigaline,Kitchen,RadiationSensor,Oppo Find X,None,None,boldly0unaccountable00base0,201.215.235.109,0ucos3od59yrm896
yfij416,FVC,2021-05-06 07:29,2021-09-19 09:44,Bray,Basement,LevelSensor,Samsung Galaxy A5 Duos,None,None,upwardly0chemical11crook0,201.215.235.109,ts9neu8jvhvlkmpx
yfij417,SLZ,2021-02-06 21:43,2022-01-08 16:21,Portlaoise,Bedroom,PhotoelectricSensor,Nokia X2,None,None,steadily0sweltering00vase0,192.168.0.108,85omujsnb2bjrec9
yfij418,WJN,2021-08-03 13:06,2022-01-02 04:53,Killarney,Bedroom,MetalSensor,Samsung Galaxy A12,None,None,however1enormous01ice0,192.168.0.108,vdd5y58n2ij4zyja
yfij419,EPD,2021-01-05 14:51,2021-02-09 05:58,Clonmel,GuestRoom,ParticleSensor,Honor 9,None,None,sedately0tense11waste0,201.215.235.109,61lplzylaj3rc6ej
yfij420,BCX,2022-03-14 04:37,2021-10-22 21:13,Balbriggan,Frontyard,PhotoelectricSensor,Nubia Red Magic 5G,None,None,lively0secretive11pear0,#N/A,dju81a29lo4lj14u
yfij421,WZP,2021-04-09 00:10,2022-04-22 10:49,Enniskillen,Bathroom,ContactSensor,HTC Desire 626s,None,None,solidly1brainy11poison1,192.168.0.108,yjw5lo35byc5hdxp
yfij422,XCW,2021-04-26 12:49,2021-03-09 16:22,Cobh,Garage,ElectricalSensor,Samsung Galaxy A01,None,None,previously0domineering00crack1,192.168.0.108,ppt9jmamgd59gls5
yfij423,PCS,2021-09-18 12:04,2022-03-11 12:18,Athlone,Frontyard,PhotoelectricSensor,Asus ZenFone Lite L1,None,None,continually1resonant01spring0,188.247.201.145,ueht498angrv3ci7
yfij424,MCY,2021-02-11 18:37,2021-11-06 18:07,#REF!,Bathroom,ProximitySensor,Samsung Galaxy C5,None,None,upward1kaput01sock0,201.215.235.109,3v7p8lvfbcpu48r8
yfij425,HKX,2021-12-25 06:12,2021-11-13 18:10,Athlone,Backyard,FlawSensor,Nokia 1 Plus,None,None,queasily1level01celery1,201.215.235.109,yemz3zhla9vdq9xx
yfij426,WRV,2022-01-01 00:50,2021-02-02 19:31,Maynooth,GuestRoom,LevelSensor,HTC One E9s,None,None,dearly0nebulous11test1,192.168.0.108,s6jcxnfn8ck7uiyz
yfij427,THA,2021-01-19 00:58,2021-12-24 06:12,Carlow,Livingroom,ElectricalSensor,Honor Play 3/3e,None,None,zealously0six00cars1,192.168.0.108,ut79tod87tkvjybf
yfij428,KTC,2021-03-08 02:11,2021-10-10 08:59,Maynooth,Livingroom,LeakSensor,Honor 30i,None,None,officially1learned11suit1,201.215.235.109,milc8lbibmlyfk66
yfij429,HAB,2022-03-01 13:39,2021-07-25 07:46,Limavady,Backyard,ParticleSensor,Oppo Find X3/Pro,None,None,everywhere0thin01impulse1,201.215.235.109,3rfv057vluihv3az
yfij430,GHC,2021-01-09 04:20,2021-04-14 15:28,Bray,#REF!,RadiationSensor,Honor 8C,None,None,famously1courageous10door0,201.215.235.109,ep5y6wvuh827xfd3
yfij431,WJN,2022-05-04 08:07,2021-03-12 01:38,Newtownards,#REF!,ContactSensor,Nubia Red Magic 3s,None,None,necessarily0hushed11ghost1,192.168.0.108,ry3oogsngyvwu92y
yfij432,GRM,2022-05-06 18:43,2022-01-18 06:55,Letterkenny,Frontyard,ProximitySensor,Nubia Red Magic 3,None,None,rigidly0TRUE11nest1,201.215.235.109,n336d0kj387ysry3
yfij433,JNU,2021-07-21 11:09,2022-05-21 22:45,Cookstown,Frontyard,PressureSensor,Oppo Reno4/Pro,None,None,judgementally1homely10wren1,201.215.235.109,ppt9jmamgd59gls5
yfij434,WJN,2021-05-01 16:12,2022-04-09 03:06,Limavady,Garage,PhotoelectricSensor,HTC Desire 12/12+,None,None,forth1momentous00note1,192.168.0.108,jkn28jqtzca7n03l
yfij435,PKD,2021-04-08 02:47,2021-11-06 15:36,Portadown,Familyroom,ContactSensor,Asus ZenFone 5 (2014),None,None,awkwardly0homeless00locket0,50.109.201.254,wugfnstgcn8sfd8p
yfij436,FLF,2022-03-01 10:33,2021-04-28 00:17,Maynooth,GuestRoom,MotionSensor,HTC One (E8),None,None,dutifully1bashful11church0,201.215.235.109,lx90vfp0fnnxabg4
yfij437,MHE,2021-03-17 23:28,2021-05-12 10:06,Dundalk,Garage,PressureSensor,Apple iPhone 12,None,None,helplessly0parallel10suggestion0,201.215.235.109,trge3fb3wlkx54fv
yfij438,KTC,2022-02-06 17:25,2021-10-30 04:42,Ashbourne,Garage,VisionAndImaging Sensor,Samsung Galaxy Note 8,None,None,sometimes0habitual11baby0,201.215.235.109,7dy5ik5jehbnn5yc
yfij439,HAB,2021-10-08 03:20,2022-02-20 01:56,Portlaoise,Frontyard,MetalSensor,Samsung Galaxy A51 5G/A71 5G,None,None,personally0ultra10blow1,201.215.235.109,6k8amck971r7415w
